YEAR,MONTH,DAY,BAND,ALBUM,RATING,
2018,MAY,17,SKEE MASK,COMPRO,8.6,
2018,MAY,25,PUSHA T,DAYTONA,8.3,
2018,JUNE,1,FATHER JOHN MISTY,GOD'S FAVORITE CUSTOMER,8.5,
2018,JUNE,8,SNAIL MAIL,LUSH,8.7,
2018,JUNE,12,TIERRA WHACK,WHACK WORLD,8.3,
2018,JUNE,15,SOPHIE,OIL OF EVERY PEARL'S UN-INSIDES,8.6,
2018,JUNE,19,BEYONCE / JAY-Z,EVERYTHING IS LOVE,8.2,
2018,JUNE,22,KAMASI WASHINGTON,HEAVEN AND EARTH,8.8,
2018,JULY,3,LET'S EAT GRANDMA,I'M ALL EARS,8.6,
2018,JULY,13,DEAFHEAVEN,ORDINARY CORRUPT HUMAN LOVE,8.5,
2018,JULY,24,THE INTERNET,HIVE MIND,8.3,
2018,AUGUST,10,TIRZAH,DEVOTION,8.3,
2018,AUGUST,17,MITSKI,BE THE COWBOY,8.8,
2018,SEPTEMBER,7,YVES TUMOR,SAFE IN THE HANDS OF LOVE,9.1,
2018,SEPTEMBER,10,JOEY PURP,QUATERTHING,8.3,
2018,SEPTEMBER,14,LOW,DOUBLE NEGATIVE,8.7,
2018,SEPTEMBER,19,NONAME,ROOM 25,8.6,
2018,SEPTEMBER,28,TIM HECKER,KONOYO,8.5,
2018,OCTOBER,10,SHECK WES,MUDBOW,8.2,
2018,OCTOBER,25,ROBYN,HONEY,8.5,
2018,OCTOBER,26,BOYGENIUS,BOYGENIUS EP,8.3,
2018,NOVEMBER,8,ROSALIA,EL MAL QUERER,8.8,
2018,NOVEMBER,29,THE 1975,A BRIEF INQUIRY INTO ONLINE RELATIONSHIPS,8.5,
2018,NOVEMBER,30,EARL SWEATSHIRT,SOME RAP SONGS,8.8,
2018,DECEMBER,2,JEFF TWEEDY,WARM,8.3,
2019,JANUARY,18,SHARON VAN ETTEN,REMIND ME TOMORROW,8.4,
2019,FEBRUARY,8,JESSICA PRATT,QUIET SIGNS,8.4,
2019,FEBRUARY,14,NIVHEK,AFTER ITS OWN DEATH / WALKING IN A SPIRAL TOWARDS THE HOUSE,8.3,
2019,MARCH,5,SOLANGE,WHEN I GET HOME,8.4,
2019,MARCH,8,HELADO NEGRO,THIS IS HOW YOU SMILE,8.5,
2019,MARCH,14,RAP,EXPORT,8.4,
2019,MARCH,15,CHAI,PUNK,8.3,
2019,MARCH,22,NILUFER YANIA,MISS UNIVERSE,8.3,
2019,APRIL,2,FENNESZ,AGORA,8.5,
2019,APRIL,5,WEYES BLOOD,TITANIC RISING,8.5,
2019,APRIL,19,BEYONCE,HOMECOMING: THE LIVE ALBUM,9.3,
2019,APRIL,25,SUNN O))),LIFE METAL,8.4,
2019,MAY,6,BIG THIEF,U.F.O.F.,9.2,
2019,MAY,15,JAMILA WOODS,LEGACY! LEGACY!,8.5,
2019,MAY,21,SLOWTHAI,NOTHING GREAT ABOUT BRITAIN,8.4,
2019,MAY,28,CATE LE BON,REWARD,8.4,
2019,JUNE,4,DENZEL CURRY,ZUU,8.3,
2019,JUNE,12,POLO G,DIE A LEGEND,8.3,
2019,JUNE,13,BILL CALLAHAN,SHEPHERD IN A SHEEPSKIN VEST,8.5,
2019,JUNE,17,LEIF,LOOM DREAM,8.3,
2019,JUNE,24,MANNEQUIN PUSSY,PATIENCE,8.4,
2019,JUNE,25,BLACK MIDI,SCHLAGENHEIM,8.2,
2019,JUNE,27,THOM YORKE,ANIMA,8.3,
2019,JUNE,28,MIKE,TEARS OF JOY,8.3,
2019,JULY,1,MOODYMANN,SINNER,8.4,
2019,JULY,12,PURPLE MOUNTAINS,PURPLE MOUNTAINS,8.5,
2019,JULY,19,MAXO KREAM,BRANDON BANKS,8.4,
2019,JULY,29,FLORIST,EMILY ALONE,8.4,
2019,AUGUST,1,BURNA BOY,AFRICAN GIANT,8.3,
2019,AUGUST,9,BON IVER,"i,i",8.8,
2019,AUGUST,16,OSO OSO,BASKING IN THE GLOW,8.3,
2019,AUGUST,21,YOUNG THUG,SO MUCH FUN,8.4,
2019,SEPTEMBER,3,LANA DEL REY,NORMAN FUCKING ROCKWELL!,9.4,
2019,SEPTEMBER,16,(SANDY) ALEX G,HOUSE OF SUGAR,8.6,
2019,SEPTEMBER,17,JENNY HVAL,THE PRACTICE OF LOVE,8.6,
2019,SEPTEMBER,20,BRITTANY HOWARD,JAIME,8.6,
2019,OCTOBER,4,ANGEL OLSEN,ALL MIRRORS,8.9,
2019,OCTOBER,9,NICK CAVE & THE BAD SEEDS,GHOSTSEEN,8.8,
2019,OCTOBER,11,BIG THIEF,TWO HANDS,9.0,
2019,OCTOBER,14,KIM GORDON,NO HOME RECORD,8.4,
2019,OCTOBER,21,FLOATING POINTS,CRUSH,8.3,
2019,NOVEMBER,5,EARL SWEATSHIRT,FEET OF CLAY,8.4,
2019,NOVEMBER,26,DAVIDO,A GOOD TIME,8.3,
2019,NOVEMBER,27,BLOOD INCANTATION,HIDDEN HISTORY OF THE HUMAN RACE,8.3,
2020,JANUARY,24,JEFF PARKER,SUITE FOR MAX BROWN,8.4,
2020,JANUARY,31,DESTROYER,HAVE WE MET,8.5,
2020,FEBRUARY,7,GIL SCOTT-HERON - MAKAYA MCCRAVEN,WE'RE NEW AGAIN: A REIMAGINING BY MAKAYA MCCRAVEN,8.6,
2020,FEBRUARY,12,BEATRICE DILLON,WORKAROUND,8.3,
2020,FEBRUARY,21,GRIMES,MISS ANTHROPOCENE,8.2,
2020,MARCH,5,BAD BUNNY,YHLQMDLG,8.5,
2020,MARCH,9,U.S. GIRLS,HEAVY LIGHT,8.5,
2020,MARCH,10,LIL UZI VERT,ETERNAL AWAKE,8.4,
2020,MARCH,13,PORRIDGE RADIO,EVERY BAD,8.4,
2020,MARCH,16,DOGLEG,MELEE,8.6,
2020,MARCH,17,JAY ELECTRONICA,A WRITTEN TESTIMONY,8.4,
2020,MARCH,25,LYRA PRAMUK,FOUNTAIN,8.2,
2020,MARCH,27,WAXAHATCHEE,SAINT CLOUD,8.7,
2020,APRIL,3,YVES TUMOR,HEAVEN TO A TORTURED MIND,8.5,
