YEAR,MONTH,BAND,ALBUM,GENRE,RATING,BEST SONG,
2017,MARCH,Lydia Ainsworth,Darling of the Afterglow,Indie Pop,7,“The Road”,
2017,MARCH,Mount Eerie,A Crow Looked At Me,Lo-Fi,7,“Ravens”,
2017,MARCH,Passion Pit,Tremendous Sea of Love,Electro Pop,8,“The Undertow”,
2017,MARCH,Pallbearer,Heartless,Metal,8,“A Plea for Understanding”,
2017,MARCH,Pharmakon,Contact,Industrial,1,,
2017,MARCH,Real Estate,In Mind,Indie Rock,7,“Darling”,
2017,MARCH,The Shins,Heartworms,Indie Rock,7,“Fantasy Island”,
2017,MARCH,Spoon,Hot Thoughts,Indie Rock,7,“Tear It Down”,
2017,MARCH,Tennis,Yours Conditionally,Indie Pop,8,“In The Morning I'll Be Better”,
2017,MARCH,Valerie June,The Order of Time,Country,7,"""Got Soul""",
2017,MARCH,Various Artists,Mono No Aware,Electronic,8,“Limerence”,
2017,MARCH,Yaeji,Yaeji EP,Electronic,5,,
,,,,,,,
2017,APRIL,Actress,AZD,Electronic,6,,
2017,APRIL,Arca,Arca,Electronic,9,“Desafio”,
2017,APRIL,Colin Stetson,All This I Do For Glory,Jazz,5,,
2017,APRIL,Father John Misty,Pure Comedy,Indie Rock,7,“Total Entertainment Forever”,
2017,APRIL,Feist,Pleasure,Indie Pop,7,“A Man Is Not His Song”,
2017,APRIL,Future Islands,The Far Field,Indie Rock,8,“Shadows”,
2017,APRIL,Gas,Narkopop,Ambient,7,“Narkopop 3”,
2017,APRIL,Gorillaz,Humanz,Indie Rock,7,“Andromeda (feat. D.R.A.M.)”,
2017,APRIL,Kendrick Lamar,DAMN.,Rap,9,“LOVE. (FEAT. ZACARI.)”,
2017,APRIL,The New Pornographers,Whiteout Conditions,Indie Rock,6,“We've Been Here Before”,
2017,APRIL,The New Year,Snow,Indie Rock,5,“Recent History”,
2017,APRIL,Ryuichi Sakamoto,Async,Ambient,7,“andata”,
2017,APRIL,Timber Timbre,"Sincerely, Future Pollution",Indie Folk,6,,
2017,APRIL,Woods,Love Is Love,Folk Rock,7,“Bleeding Blue”,
,,,,,,,
2017,MAY,The Afghan Whigs,In Spades,Indie Rock,7,“The Spell”,
2017,MAY,Burial,Subtemple EP,Electronic,5,,
2017,MAY,Forest Swords,Compassion,Electronic,8,“War It”,
2017,MAY,Girlpool,Powerplant,Indie Rock,7,“It Gets More Blue”,
2017,MAY,Jesu & Sun Kil Moon,30 Seconds to the Decline of Planet Earth,Indie Folk,6,,
2017,MAY,Jlin,Black Origami,Electronic,4,,
2017,MAY,Johnny Jewel,Windswept,Synthpop,7,“Saturday”,
2017,MAY,Mac DeMarco,This Old Dog,Indie Rock,7,“One More Love Song”,
2017,MAY,The Mountain Goats,Goths,Indie Rock,8,“Andrew Eldritch Is Moving Back To Leeds”,
2017,MAY,Paramore,After Laughter,Pop Rock,8,“Pool”,
2017,MAY,Perfume Genius,No Shape,Indie Pop,8,“Sides”,
2017,MAY,(Sandy) Alex G,Rocket,Indie Rock,8,“Bobby”,
2017,MAY,Sam Amidon,The Following Mountain,Folk,5,“Gendel in 5”,
2017,MAY,Slowdive,Slowdive,Shoegaze,9,“Sugar for the Pill”,
,,,,,,,
2017,JUNE,Algiers,The Underside of Power,Indie Rock,6,"""The Underside of Power""",
2017,JUNE,Allie X,COLLXTION II,Electro Pop,8,"""Vintage""",
2017,JUNE,Alt-J,Relaxer,Indie Rock,6,“Last Year”,
2017,JUNE,Amber Coffman,City of No Reply,Indie Folk,7,“Under the Sun”,
2017,JUNE,Baio,Man of the World,Electronic,6,"""I'm Not Curious""",
2017,JUNE,Beach House,B-Sides and Rarities,Dream Pop,7,"""Chariot""",
2017,JUNE,Big Boi,Boomiverse,Rap,8,"""Order of Operations""",
2017,JUNE,Big Thief,Capacity,Indie Rock,8,"""Mary""",
2017,JUNE,BROCKHAMPTON,SATURATION,Rap,,,
2017,JUNE,Calvin Harris,Funk Wav Bounces Vol. 1,Pop,6,"""Slide (feat. Frank Ocean & Migos)""",
2017,JUNE,Cigarettes After Sex,Cigarettes After Sex,Dream Pop,8,“Apocalypse”,
2017,JUNE,Clams Casino,Instrumental 4,Electronic,6,,
2017,JUNE,Cornelius,Mellow Waves,Electronic,7,"""If You're Here""",
2017,JUNE,DJ Sports,Modern Species,Electronic,8,"""Entry Mode""",
2017,JUNE,Fleet Foxes,Crack-Up,Indie Folk,7,"""Fool's Errand""",
2017,JUNE,Jay Z,04:44,Rap,6,"""4:44""",
2017,JUNE,Kevin Morby,City Music,Indie Rock,7,"""Pearly Gates""",
2017,JUNE,Kirin J Callinan,Bravado,Indie Rock,9,"""Bravado""",
2017,JUNE,Laurel Halo,Dust,Electronic,7,"""Moontalk""",
2017,JUNE,Lorde,Melodrama,Pop,9,"""Perfect Places""",
2017,JUNE,Marika Hackman,I'm Not Your Man,Indie Folk,6,"""My Lover Cindy""",
2017,JUNE,MIKE,May God Bless Your Hustle,Rap,6,,
2017,JUNE,Phoenix,Ti Amo,Indie Rock,7,"""J-Boy""",
2017,JUNE,Saint Etienne,Home Counties,Indie Pop,6,"""Out of My Mind""",
2017,JUNE,"Sufjan Stevens, Bryce Dessner, Nico Muhly & James McAlister",Planetarium,Indie Folk,8,“Neptune”,
2017,JUNE,SZA,CTRL,R&B,8,"""Supermodel""",
2017,JUNE,Vince Staples,Big Fish Theory,Rap,8,"""Crabs In A Bucket""",
2017,JUNE,Washed Out,Mister Mellow,Synthpop,5,,
2017,JUNE,Young Thug,Beautiful Thugger Girls,Rap,8,"""Relationship (feat. Future)""",
,,,,,,,
